               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.022841,            0.010098,           0.0023818,             0.78251,             0.92865,             0.91671,             0.62941,            0.017846,           0.0050997,           0.0036918,            0.001189,            0.001189,            0.001189
                  91,            0.020932,           0.0098767,           0.0024807,             0.84832,              0.8653,             0.91835,             0.63805,            0.018468,           0.0050509,           0.0040477,             0.00109,             0.00109,             0.00109
                  92,            0.021936,           0.0097976,           0.0035596,             0.80446,             0.87996,              0.9124,             0.63206,            0.017633,            0.005068,           0.0045571,            0.000991,            0.000991,            0.000991
                  93,            0.020446,            0.010249,           0.0030694,              0.8767,             0.82052,             0.91981,             0.62905,            0.018946,           0.0052098,           0.0043565,            0.000892,            0.000892,            0.000892
                  94,            0.023639,            0.010295,            0.003839,             0.88466,             0.79858,             0.91649,             0.63939,            0.017932,           0.0051295,           0.0046701,            0.000793,            0.000793,            0.000793
                  95,            0.020001,            0.010505,           0.0026038,              0.8342,              0.8694,             0.92064,             0.62052,            0.017936,           0.0052796,           0.0051207,            0.000694,            0.000694,            0.000694
                  96,            0.020069,           0.0098479,           0.0033147,             0.89126,             0.82781,             0.92304,             0.63747,            0.018314,           0.0053539,           0.0054952,            0.000595,            0.000595,            0.000595
                  97,            0.022492,            0.010389,           0.0031533,             0.90949,             0.83086,             0.92658,             0.62837,            0.018947,           0.0054311,           0.0056013,            0.000496,            0.000496,            0.000496
                  98,            0.021554,            0.010538,           0.0029204,             0.90723,             0.81264,             0.92006,             0.62258,            0.018677,           0.0054044,           0.0052206,            0.000397,            0.000397,            0.000397
                  99,            0.021137,           0.0095463,           0.0027812,             0.89665,             0.82373,             0.92017,             0.62678,            0.017756,           0.0053907,           0.0051518,            0.000298,            0.000298,            0.000298
